Country,GHS_Score_2019,GHS_Score_2021,Prevention_2019,Prevention_2021,Detection_2019,Detection_2021,Response_2019,Response_2021,HealthSystem_2019,HealthSystem_2021,Norms_2019,Norms_2021,RiskEnv_2019,RiskEnv_2021,GHS_Change_19_21,GHS_Change_Category,ISO_Code
Afghanistan,27.9,28.8,15.4,12.0,20.0,20.6,27.1,24.5,20.6,23.0,54.2,60.9,30.4,31.6,0.9000000000000021,No Significant Change,AFG
Albania,46.2,45.0,42.0,42.0,45.4,40.0,43.5,38.1,37.8,47.4,55.0,52.1,53.7,50.6,-1.2000000000000028,Declined,ALB
Algeria,26.8,26.2,19.4,15.3,8.5,12.6,31.1,25.6,12.6,15.0,37.3,38.9,52.0,49.7,-0.6000000000000014,No Significant Change,DZA
Andorra,30.5,34.7,19.0,27.1,2.2,2.2,33.4,39.5,15.5,15.4,33.0,43.2,79.9,80.5,4.200000000000003,Improved,ADO
Angola,25.2,29.1,13.4,14.7,13.3,13.3,20.9,31.6,16.8,23.1,43.1,47.7,43.7,43.9,3.900000000000002,Improved,AGO
Antigua & Barbuda,30.2,30.0,16.7,16.7,5.8,5.8,29.9,32.1,12.1,16.7,54.7,45.5,61.8,63.2,-0.1999999999999993,No Significant Change,ATG
Argentina,56.1,54.4,41.5,41.5,54.6,56.7,52.0,43.6,64.4,64.4,64.8,59.7,59.3,60.6,-1.7000000000000028,Declined,ARG
Armenia,63.2,61.8,75.0,79.3,67.9,69.6,72.6,56.3,55.0,58.8,58.7,59.2,50.3,47.6,-1.4000000000000057,Declined,ARM
Australia,73.2,71.1,68.5,65.2,79.6,82.2,68.5,61.6,66.9,69.2,76.4,72.2,79.5,76.0,-2.1000000000000085,Declined,AUS
Austria,57.4,56.9,53.3,53.3,38.8,41.4,47.9,41.8,54.0,54.0,63.9,63.9,86.5,87.2,-0.5,No Significant Change,AUT
Azerbaijan,34.2,34.7,32.6,32.6,21.7,21.7,33.4,32.4,21.7,24.1,37.8,38.4,57.8,59.3,0.5,No Significant Change,AZE
Bahamas,29.6,30.1,15.0,19.1,12.1,14.2,33.2,30.8,11.6,16.3,47.2,47.7,58.5,52.7,0.5,No Significant Change,BHS
Bahrain,38.9,36.3,31.9,28.6,33.5,37.2,44.8,33.5,38.9,41.2,29.2,21.9,55.0,55.2,-2.6000000000000014,Declined,BHR
Bangladesh,35.4,35.5,22.9,23.7,39.6,43.8,29.3,28.6,23.2,25.6,50.0,42.2,47.4,48.9,0.1000000000000014,No Significant Change,BGD
Barbados,32.2,34.9,23.8,23.8,7.9,13.8,37.1,36.0,9.6,12.0,47.2,54.7,67.8,69.5,2.699999999999996,Improved,BRB
Belarus,41.8,43.9,31.2,34.0,26.1,34.4,49.4,42.2,43.3,45.7,46.7,55.6,53.8,51.6,2.1000000000000014,Improved,BLR
Belgium,61.9,59.3,57.5,54.2,52.9,52.9,57.5,46.4,64.3,64.2,60.6,61.1,78.4,77.2,-2.6000000000000014,Declined,BEL
Belize,30.2,29.7,23.4,27.7,20.4,20.4,28.9,22.1,11.0,10.9,47.2,46.4,50.1,50.7,-0.5,No Significant Change,BLZ
Benin,27.0,25.4,9.2,9.3,18.3,14.2,31.6,29.3,7.6,7.7,50.0,46.9,44.9,45.0,-1.6000000000000014,Declined,BEN
Bhutan,40.8,39.8,34.1,26.6,27.1,33.3,55.5,47.2,35.3,37.7,37.3,37.3,55.8,56.6,-1.0,No Significant Change,BTN
Bolivia,32.0,29.9,40.8,37.4,21.3,21.3,31.0,28.0,17.2,17.2,30.2,26.0,51.4,49.3,-2.1000000000000014,Declined,BOL
Bosnia and Hercegovina,36.4,35.4,34.6,30.4,13.3,13.9,36.0,36.7,39.3,41.7,45.3,38.9,49.9,50.7,-1.0,No Significant Change,BIH
Botswana,31.1,33.6,14.7,14.7,18.9,29.3,30.3,25.3,18.5,20.9,41.7,48.3,62.4,63.3,2.5,Improved,BWA
Brazil,51.0,51.2,49.6,49.7,51.5,53.6,64.8,56.3,50.3,50.3,37.0,41.7,52.8,55.9,0.2000000000000028,No Significant Change,BRA
Brunei,33.0,43.5,22.0,30.1,21.0,44.7,37.5,44.0,22.6,34.9,29.7,41.5,65.1,65.9,10.5,Improved,BRN
Bulgaria,61.4,59.9,66.7,66.8,61.7,61.7,49.0,38.9,58.3,60.8,69.4,69.4,63.5,61.7,-1.5,Declined,BGR
Burkina Faso,34.4,29.8,9.7,9.7,37.6,33.9,47.7,32.4,11.3,13.7,51.9,51.9,48.4,37.4,-4.599999999999998,Declined,BFA
Burundi,22.7,22.1,10.3,14.2,14.2,14.2,30.0,21.5,9.1,9.1,33.3,34.4,39.0,39.4,-0.5999999999999979,No Significant Change,BDI
Cabo Verde,32.6,34.1,20.1,22.3,10.6,14.7,37.4,38.5,21.5,23.1,39.4,43.6,66.5,62.5,1.5,Improved,CPV
Cambodia,31.0,31.1,17.5,24.8,32.9,37.1,27.5,21.3,12.3,12.3,57.5,52.4,38.6,38.4,0.1000000000000014,No Significant Change,KHM
Cameroon,32.2,28.6,15.2,6.5,31.4,30.8,33.8,29.5,17.9,20.3,56.3,51.0,38.8,33.8,-3.6000000000000014,Declined,CMR
Canada,67.6,69.8,69.8,70.4,64.6,70.8,50.0,49.2,65.0,67.3,75.0,79.2,81.3,81.8,2.200000000000003,Improved,CAN
Central African Republic,20.7,18.6,13.8,10.5,12.5,12.5,27.8,20.6,8.3,8.3,31.8,33.9,29.9,26.2,-2.099999999999998,Declined,CAF
Chad,24.5,23.9,18.1,18.1,18.3,18.3,29.6,25.7,10.2,10.2,41.7,46.4,29.2,25.0,-0.6000000000000014,No Significant Change,TCD
Chile,53.0,56.2,46.6,47.2,43.5,58.1,60.8,59.5,48.2,52.9,52.6,53.1,66.4,66.2,3.200000000000003,Improved,CHL
China,49.0,47.5,43.9,43.9,48.5,48.5,48.8,38.5,49.4,51.8,38.9,38.9,64.6,63.4,-1.5,Declined,CHN
Colombia,50.0,53.2,47.2,50.9,43.3,57.9,55.7,49.8,43.7,48.5,61.5,61.5,48.7,51.0,3.200000000000003,Improved,COL
Comoros,25.2,24.9,8.4,8.4,15.8,17.9,31.4,22.4,11.6,14.0,47.9,47.9,36.3,38.8,-0.3000000000000007,No Significant Change,COM
Congo (Brazzaville),23.9,26.3,9.5,1.1,4.2,9.6,28.0,36.2,8.2,8.2,54.2,63.0,39.2,40.0,2.400000000000002,Improved,COG
Congo (Democratic Republic),26.0,26.1,12.4,12.4,29.2,29.2,29.8,26.2,16.2,16.2,42.2,42.7,26.4,29.9,0.1000000000000014,No Significant Change,COD
Cook Islands,21.1,23.9,9.7,9.7,1.7,3.8,31.6,37.5,13.1,13.1,22.9,22.9,47.9,56.1,2.799999999999997,Improved,COK
Costa Rica,40.5,40.8,31.9,31.9,33.1,33.1,39.6,42.6,32.8,32.8,38.0,38.5,67.8,65.9,0.2999999999999971,No Significant Change,CRI
Croatia,49.8,48.8,51.3,47.7,37.8,37.8,37.0,31.0,51.4,51.4,55.0,59.7,66.2,65.0,-1.0,No Significant Change,HRV
Cuba,32.3,30.5,30.7,27.2,6.8,13.1,35.4,32.5,17.1,19.5,46.7,37.5,57.3,53.2,-1.7999999999999972,Declined,CUB
Cyprus,42.3,41.9,44.3,44.1,21.4,25.0,38.0,34.0,31.5,32.3,52.3,52.8,66.2,62.9,-0.3999999999999986,No Significant Change,CYP
Czech Republic,55.0,52.8,46.7,46.1,37.8,37.8,55.3,50.1,55.8,55.8,59.2,51.4,75.0,75.6,-2.200000000000003,Declined,CZE
Côte d'Ivoire,32.9,31.2,15.7,12.4,33.8,29.6,38.8,35.3,14.7,17.1,50.0,47.7,44.3,45.2,-1.6999999999999993,Declined,CIV
Denmark,67.3,64.4,67.7,64.3,60.4,64.6,78.1,51.8,59.7,64.5,56.9,61.1,80.9,79.9,-2.8999999999999915,Declined,DNK
Djibouti,23.9,25.2,12.7,16.1,10.0,14.2,26.9,29.1,14.0,14.0,33.2,33.2,46.6,45.0,1.3000000000000007,Improved,DJI
Dominica,27.1,26.4,13.6,13.6,10.0,14.2,29.3,30.2,9.5,9.4,47.2,38.0,52.7,52.9,-0.7000000000000028,No Significant Change,DMA
Dominican Republic,35.8,34.5,21.0,20.9,27.9,30.0,46.5,39.5,16.8,16.8,45.7,44.6,56.8,54.9,-1.2999999999999972,Declined,DOM
Ecuador,48.2,50.8,49.4,50.5,45.3,51.5,44.2,42.0,49.6,56.7,45.7,53.1,55.2,50.9,2.5999999999999943,Improved,ECU
Egypt,30.3,28.0,19.1,15.7,18.3,18.9,32.7,20.9,16.5,18.8,34.2,33.3,61.0,60.3,-2.3000000000000007,Declined,EGY
El Salvador,42.9,40.8,20.1,11.7,50.4,52.5,47.8,35.5,38.4,38.4,54.0,53.1,46.6,53.4,-2.1000000000000014,Declined,SLV
Equatorial Guinea,18.0,17.4,0.0,0.0,0.0,0.0,24.9,21.2,8.3,8.3,29.2,29.2,45.4,46.0,-0.6000000000000014,No Significant Change,GNQ
Eritrea,22.5,21.4,16.0,12.5,10.4,10.4,23.6,19.9,8.6,8.6,37.5,37.5,38.8,39.3,-1.1000000000000014,Declined,ERI
Estonia,55.6,55.5,42.5,42.5,41.3,41.3,62.9,56.2,46.4,49.4,66.1,66.7,74.2,76.9,-0.1000000000000014,No Significant Change,EST
Ethiopia,37.4,37.8,22.5,22.5,23.5,29.7,42.0,45.9,28.2,28.2,64.9,59.4,43.2,41.2,0.3999999999999986,No Significant Change,ETH
Fiji,25.4,25.8,16.0,16.0,6.3,6.3,33.9,36.3,10.1,10.1,26.9,23.8,58.9,62.3,0.4000000000000021,No Significant Change,FJI
Finland,72.0,70.9,61.6,58.2,65.4,67.5,81.5,70.7,64.1,68.7,77.8,77.8,81.4,82.6,-1.0999999999999943,Declined,FIN
