iso_code,location,Deaths_per_Million_Y1,Deaths_per_Million_Y2,Deaths_per_Million_Total,Cases_per_Million_Y1,Cases_per_Million_Y2,Cases_per_Million_Total,Vaccinated_per_Hundred_Y1,Vaccinated_per_Hundred_Y2,Vaccinated_per_Hundred_Total,Excess_Mortality_Y1,Excess_Mortality_Y2,Excess_Mortality_Total
ABW,Aruba,436.02,1679.16,2708.92,48500.82,159241.88,410271.62,NA,74.21,79.25,621.03,3305.71,3305.71
AFG,Afghanistan,53.18,181.18,197.1,1277.71,3891.24,5796.47,NA,9.13,44.67,NA,NA,NA
AGO,Angola,11.22,49,54.36,481.24,1996.41,3016.16,NA,11.04,27,NA,NA,NA
AIA,Anguilla,0,352.06,844.95,844.95,115899.17,274890.88,NA,58.09,65.38,NA,NA,NA
ALB,Albania,401.04,1127.1,1274.93,19585.41,73284.73,118491.02,NA,36.28,45.01,2027.45,5133.62,5841.71
AND,Andorra,1041.12,1743.56,1994.43,97915.26,272572.2,602280.44,NA,64.37,67.01,1152.81,1773.4,1773.4
ARE,United Arab Emirates,63.95,210.5,229.35,19614.37,73181.39,104180.94,NA,95.96,103.72,126.19,403.45,403.45
ARG,Argentina,1046.23,2594.92,2877.54,35894.81,122443.8,222455.06,0,67.63,76.69,801.76,2887.62,4093.72
ARM,Armenia,960.82,2757.14,3046.64,54786.68,119574.8,156991.11,NA,24.89,37.07,3572.84,7123.47,8309.08
ASM,American Samoa,0,0,702.99,0,227.44,172831.6,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,53.85,1270.85,1572.41,1669.34,45546.09,98071.1,NA,62.77,66.53,33.45,33.45,33.45
AUS,Australia,35.11,90.72,963.17,1079.96,13992.11,452699,NA,75.47,82.7,41.59,59.66,1386.02
AUT,Austria,777.63,1829.85,2485.91,38030.25,138128.22,671004.9,NA,70.64,74.76,805.03,1624.46,3178.02
AZE,Azerbaijan,234.67,804.64,1005.6,20568.98,59650.38,81178.45,NA,45.15,46.94,1748.9,3567.98,3878.84
BDI,Burundi,0.15,1.05,1.13,60.73,2026.78,4096.43,NA,0.03,0.28,NA,NA,NA
